Index, Start Node, End Node, Force, Stress, Area, Cluster No., MaxStress
0,0,1,132565.7203131908,300602540.3927229,0.000441,2,530000000
1,1,2,41642.645162957546,289185035.8538718,0.000144,3,530000000
2,3,4,134202.68343844646,304314474.9171122,0.000441,2,530000000
3,4,5,42998.19021051711,298598543.12859106,0.000144,3,530000000
4,0,3,0.0,0.0,4.9e-05,4,530000000
5,1,4,0.0,0.0,4.9e-05,4,530000000
6,2,5,7.885876738937536e-13,1.6093625997831706e-08,4.9e-05,4,530000000
7,2,6,-24423.518808886623,-169607769.5061571,0.000144,0,530000000
8,6,7,-60875.52086975253,-187887410.0918288,0.000324,5,530000000
9,7,8,-60765.002600128355,-187546304.3213838,0.000324,5,530000000
10,8,9,-23324.959206448664,-161978883.3781157,0.000144,0,530000000
11,5,10,-23514.686791078006,-163296436.04915282,0.000144,0,530000000
12,10,11,-60572.57686381617,-186952397.72782767,0.000324,5,530000000
13,11,12,-61067.94660606442,-188481316.685384,0.000324,5,530000000
14,12,13,-24233.791224257056,-168290216.83511844,0.000144,0,530000000
15,6,10,0.0,0.0,4.9e-05,4,530000000
16,7,11,6.640738306473715e-13,1.3552527156068805e-08,4.9e-05,4,530000000
17,8,12,0.0,0.0,4.9e-05,4,530000000
18,9,13,2.656295322589486e-12,5.421010862427522e-08,4.9e-05,4,530000000
19,9,14,42825.2690827298,297397701.9634014,0.000144,3,530000000
20,14,15,134367.80790219884,304688906.80770713,0.000441,2,530000000
21,13,16,41469.72403516994,287984194.6886801,0.000144,3,530000000
22,16,17,132730.84477694234,300976972.28331596,0.000441,2,530000000
23,14,16,0.0,0.0,4.9e-05,4,530000000
24,15,17,0.0,0.0,4.9e-05,4,530000000
25,18,19,-154615.8357171119,-350602802.0796189,0.000441,2,530000000
26,19,20,-48057.06575258901,-333729623.28186816,0.000144,3,530000000
27,20,24,28411.19084310282,197299936.41043624,0.000144,0,530000000
28,21,22,-151516.67902409454,-343575235.88230056,0.000441,2,530000000
29,22,23,-45518.128283140264,-316098113.07736295,0.000144,3,530000000
30,23,30,30389.909088983324,211041035.34016198,0.000144,0,530000000
31,18,21,0.0,0.0,4.9e-05,4,530000000
32,19,22,0.0,0.0,4.9e-05,4,530000000
33,20,23,0.0,0.0,4.9e-05,4,530000000
34,24,30,2.656295322589486e-12,5.421010862427522e-08,4.9e-05,4,530000000
35,24,25,29177.24649313097,202619767.3134095,0.000144,0,530000000
36,25,26,84102.25991763327,259574876.28899157,0.000324,1,530000000
37,26,27,103861.19113404278,320559231.89519376,0.000324,1,530000000
38,27,28,84894.15910399945,262019009.58024523,0.000324,1,530000000
39,28,29,30316.059736068488,210528192.61158672,0.000144,0,530000000
40,30,31,30313.361584385813,210509455.4471237,0.000144,0,530000000
41,31,32,84892.81002815794,262014845.76591954,0.000324,1,530000000
42,32,33,103861.19113404253,320559231.895193,0.000324,1,530000000
43,33,34,84103.60899347441,259579040.10331607,0.000324,1,530000000
44,34,35,29179.944644813626,202638504.4778724,0.000144,0,530000000
45,25,31,-1.6601845766184287e-13,-3.3881317890172014e-09,4.9e-05,4,530000000
46,26,32,1.328147661294743e-12,2.710505431213761e-08,4.9e-05,4,530000000
47,27,33,0.0,0.0,4.9e-05,4,530000000
48,28,34,1.6601845766184287e-12,3.3881317890172014e-08,4.9e-05,4,530000000
49,29,35,0.0,0.0,4.9e-05,4,530000000
50,29,36,30392.61405405684,211059819.81983918,0.000144,0,530000000
51,36,37,-45514.2299511225,-316071041.3272396,0.000144,3,530000000
52,37,38,-151511.58732513268,-343563690.07966596,0.000441,2,530000000
53,35,39,28413.895808176276,197318720.89011303,0.000144,0,530000000
54,39,40,-48053.1674205712,-333702551.5317444,0.000144,3,530000000
55,40,41,-154610.744018149,-350591256.2769819,0.000441,2,530000000
56,36,39,-2.656295322589486e-12,-5.421010862427522e-08,4.9e-05,4,530000000
57,37,40,0.0,0.0,4.9e-05,4,530000000
58,38,41,0.0,0.0,4.9e-05,4,530000000
59,0,19,100752.39274543738,310964175.1402388,0.000324,1,530000000
60,1,20,73111.72723448511,225653479.11878118,0.000324,5,530000000
61,2,25,46811.14979407522,325077429.1255224,0.000144,3,530000000
62,6,26,15323.022684940246,312714748.6722499,4.9e-05,0,530000000
63,7,27,-16165.10442419484,-329900090.2896906,4.9e-05,0,530000000
64,8,28,-47653.23153332978,-330925218.9814568,0.000144,3,530000000
65,9,36,-69097.78960107474,-213264782.71936646,0.000324,5,530000000
66,14,37,-95011.02215668393,-293243895.54532075,0.000324,1,530000000
67,3,22,101345.80640432681,312795698.7787864,0.000324,1,530000000
68,4,23,73705.14089337472,227485002.75732937,0.000324,5,530000000
69,5,31,47654.38131532061,330933203.5786153,0.000144,3,530000000
70,10,32,16166.254206185775,329923555.22828114,4.9e-05,0,530000000
71,11,33,-15321.872902949135,-312691283.7336558,4.9e-05,0,530000000
72,12,34,-46810.00001208404,-325069444.5283614,0.000144,3,530000000
73,13,39,-68541.46196350768,-211547722.1095916,0.000324,5,530000000
74,16,40,-94454.69451911646,-291526834.9355446,0.000324,1,530000000
75,1,19,-94455.76419685218,-291530136.4100376,0.000324,1,530000000
76,2,20,-68542.53164124329,-211551023.5840842,0.000324,5,530000000
77,6,25,-46811.14979407522,-325077429.1255224,0.000144,3,530000000
78,7,26,-15323.022684940146,-312714748.6722479,4.9e-05,0,530000000
79,8,27,16165.10442419474,329900090.2896886,4.9e-05,0,530000000
80,9,28,47653.23153332971,330925218.9814563,0.000144,3,530000000
81,14,36,73703.99990857368,227481481.19930148,0.000324,5,530000000
82,15,37,101344.66541952621,312792177.22075987,0.000324,1,530000000
83,4,22,-95012.09183441874,-293247197.0198109,0.000324,1,530000000
84,5,23,-69098.85927880972,-213268084.19385713,0.000324,5,530000000
85,10,31,-47654.38131532067,-330933203.5786158,0.000144,3,530000000
86,11,32,-16166.254206185802,-329923555.2282817,4.9e-05,0,530000000
87,12,33,15321.87290294921,312691283.73365736,4.9e-05,0,530000000
88,13,34,46810.00001208411,325069444.52836186,0.000144,3,530000000
89,16,39,73110.58624968382,225649957.56075254,0.000324,5,530000000
90,17,40,100751.25176063583,310960653.58220935,0.000324,1,530000000
91,2,24,-2043.1830302816154,-41697612.86289011,4.9e-05,4,530000000
92,9,29,-2155.8086923426067,-43996095.76209401,4.9e-05,4,530000000
93,5,30,-2155.6168237785164,-43992180.07711258,4.9e-05,4,530000000
94,13,35,-2043.374898845613,-41701528.54786965,4.9e-05,4,530000000
95,0,18,0.0,0.0,4.9e-05,4,530000000
96,3,21,0.0,0.0,4.9e-05,4,530000000
97,15,38,0.0,0.0,4.9e-05,4,530000000
98,17,41,0.0,0.0,4.9e-05,4,530000000
99,0,4,256.5701382474059,5236125.270355223,4.9e-05,4,530000000
100,2,4,-256.5701382474119,-5236125.270355345,4.9e-05,4,530000000
101,2,10,271.7093855326446,5545089.500666216,4.9e-05,4,530000000
102,7,10,-271.7093855326549,-5545089.5006664265,4.9e-05,4,530000000
103,7,12,271.709385532654,5545089.500666408,4.9e-05,4,530000000
104,9,12,-271.70938553265773,-5545089.500666484,4.9e-05,4,530000000
105,9,16,256.57013824742234,5236125.270355558,4.9e-05,4,530000000
106,15,16,-256.5701382474303,-5236125.270355721,4.9e-05,4,530000000
107,19,21,976.3259438530313,19925019.26230676,4.9e-05,4,530000000
108,19,23,-1190.8128577794876,-24302303.219989542,4.9e-05,4,530000000
109,23,24,976.325943853031,19925019.262306757,4.9e-05,4,530000000
110,24,31,-998.1398414926894,-20370200.84678958,4.9e-05,4,530000000
111,26,31,1261.0782847987991,25736291.526506104,4.9e-05,4,530000000
112,26,33,-1261.0782847987928,-25736291.526505977,4.9e-05,4,530000000
113,28,33,1261.0782847987957,25736291.526506037,4.9e-05,4,530000000
114,28,35,-998.1398414926872,-20370200.846789535,4.9e-05,4,530000000
115,35,36,976.3259438530304,19925019.262306742,4.9e-05,4,530000000
116,36,40,-1190.8128577794814,-24302303.21998942,4.9e-05,4,530000000
117,38,40,976.325943853025,19925019.262306634,4.9e-05,4,530000000
